pair,hook1_type,hook1_tail_quote,hook2_type,hook2_tail_quote
CH0001+CH0002,crisis,然不是！” 路胜听出这是城门守备的军官在闲聊。 他时常都会故意路过这边城门，这里的军官守备士兵消息灵通，都喜欢到处拿稀奇事吹牛扯淡。 “这倒是巧了……”路胜脸上不动声色。他回想起之前那块玉石，心头一沉。 马车缓缓朝着城里最繁华的枯荣街驶去。,crisis,度太大，他就自己编了个简单的修改游戏武功的作弊器。 取名叫深蓝作弊器。说起来刚才那声声音还是他自己亲自用变声器录的。 没想到…… 然后路胜果断仔细去看方框内的界面。 界面极其简单，只有一个个小格子密密麻麻。 上边写着： 路胜—— 武学：无。
CH0003+CH0004,open,了……” 路胜点头。 “我只是，心里不踏实，做到自己能做的就好。” “胜哥明白就好。”赵大虎想了下，从怀里摸出一本小册子，那册子是用一层层的黄色布匹包裹着。 他细心的慢慢打开，将最里面的小册子露出来。 册子表面写着几个大字。 “黑虎刀法”。,crisis,的娘亲很早就病逝了。 从小就是二娘照顾他。 二娘刘翠玉性情柔和，待人极好，对他和对自己孩子没有丝毫不同。 “就是练武亏了点气血。没事。”路胜一一给家里人解释。 他是家中的长子，是未来要继承家业的顶梁柱，出了什么事，自然第一时间就会引发关注。
CH0005+CH0006,crisis,物的呜咽声。 呼！ 猛然一道黑影从侧面扑来，火把反光，照射出来的是一双绿油油的眼睛。 那黑影速度极快，一下扑到肉块位置，叼起肉就跑。 路胜心头一喜，便要动身。 忽然他后背一紧。 一股冷风打在背心上。 路胜双眼睁大，提着朴刀转身就是一记横斩。,crisis,安排我参加么？” 路胜却是打定主意要参加了。 寻常的凶徒，也没人敢惹路府。 路家光强壮丁勇就有三四十人，护院中还有赵伯那样的高手数人。 路全安老爷和官府衙门还有千丝万缕的联系，遇事还可以有军队帮忙。 这样的大户人家，还真不怕一般的什么凶徒。
CH0007+CH0008,reversal,胜说些城里城外流传的趣事异闻。 这也是路胜爱听的。 “老爷在吗？” 路胜下车付了钱，随口问道。 “老爷又去衙门了，知府大人召他，好像是要找什么东西。” 小八笑道。 “找什么东西？” 路胜这几日都在忙自己的事，却是没在意府里。 “什么东西？”,open,作。如果防御力真的和介绍的一样，那确实是件好东西。 他有心想要出价，但见价钱瞬间便快到了一千两，便只得忍住放弃，他真正的目的，还是下面的那本秘籍。 不能因小失大。 皮甲最后被那个背刀的赤发大汉买走。 紧接着，便是倒数第二件东西。 内功秘籍。
CH0009+CH0010,crisis,然是张家的人，但同时还有着另一层身份。 那就是紫华城外臭名昭著的狼盗，其中的一名大头目。 既然秘籍拍卖失败，那就索性硬抢，反正他也不是第一次干这种事，黑会也没人会给得拍者安全保障。 之后杀人抢到手，他还能平白节约上千两给自己用，何乐而不为？,crisis,侍卫说不定会饿死冻死在哪个角落呢。” 婉儿解释道。 “说起来，搭救婉儿的那位公子，也是和您一样武艺高强。” 端木婉轻笑起来。 “是吗？” 路胜一听便知道对方看到了他前面出手的情景。 “婉儿在黑会上，似乎见公子十分需要内功秘籍？”端木婉又道。
CH0011+CH0012,reversal,道。 “我老赵，在九连城也算有几分薄名，大公子你路家，也颇有财名，两相结合，应该能说动不少老家伙，把他们压箱底的绝学传出来，交给你。说起来，这些所谓绝学可都是能排得上三流的绝艺，大多不在黑虎刀之下。若是大公子有意，我倒是可以代为引荐引荐。”,question, 她话风一转，又道。 “至于是否有错漏修改处，这个就要看公子信不信婉儿了。否则就算是真秘籍，摆在公子面前，怕也会被嫌疑。” “婉儿姑娘所言不错。”路胜心头一喜，如果真如对方所说，三本秘籍都极易上手，那比起黑煞功，这三门功夫远远更加适合于他。
CH0013+CH0014,reversal,体内多了一条线。” 路胜试着控制这条线，发现这玩意儿似乎并不能往其他地方窜，只能固定在胸腹之间转圈。 而在这一丝内气转圈的过程中，他明显感觉到自己呼吸轻松不少，精神也要旺盛一些。 “入了门的内功，我看看……”路胜翻出秘籍来看了看上边的记录。,reversal,路胜又看了看另一门功夫，破心掌。 这门功夫显示未入门，外功和内功不同，只要记住招式心法，就能在修改器上显示项目。 而内功一定要先产生气感才能修改。 路胜打算先迅速提升玉鹤功，提高精气神总量，再来修改其他外功，这样一来，身体负荷也要轻松许多。
CH0015+CH0016,crisis,，按下修改键，然后精神集中在了玉鹤功的选项上。 “提升一层！” 选项上的状态顿时一跳，轻轻松松从一层，跳到了二层。 身体内部，一种被掏空的感觉猛然涌出，仿佛极短时间内纵欲过度很多次一样。 视线也有些头晕目眩起来，之前的那种潮热感又涌出来了。,reversal,全安认真道。 “沿山城？” 路胜一愣，他没想到老爹居然是要他离开九连城。 “是啊。”路全安点点头。“那里有我的一个老友，他前几日书信里提到，沿山城有中原名家高手开门授艺，你若是愿意，可去一趟那边，说不定可以带回来一两套中原真正的厉害武学。”
CH0017+CH0018,crisis,像样的，往这儿砍！这儿！” “你爷爷我站在这儿原地不动让你……” 哧！！ 刹那间一道银色电光一闪而过。 路胜手中的长刀一下化作轻灵的燕子，骤然跨越数米距离，一下从二头身上横切而过。 噗！ 一颗人头骤然飞起。 血撒了一地。 整个院子一片寂静。,crisis,是增强力道的，这就导致两人的刀势极重。 在最后那一下硬碰硬。 路胜右臂的肌肉也被震伤，后脚跟隐隐作疼，应该是高强度的爆发让脚筋也伤到了。 还有双肩因为短时间内连续爆发，全力使刀，加上最后一下硬撞，此时也传来阵阵痛楚，不知道是不是骨头伤到了。
CH0019+CH0020,reversal,如何？” 这大夫其实也是路家的远亲，只不过是分工不同而已。路府发达后，便将他们都召集起来。 “还好，只是一些皮外伤。将养个十天半个月就能好。” 大夫赶紧回答。 “那就好，到时候再问问他还去不去沿山城学武。” 路全安想到这个，心里也有些烦躁。,reversal,要有一丝气感，他就打算迅速提升内功，务必要让黑煞功真正形成自己实力的一部分。 就在这时，路全安匆匆忙忙带着两个家丁进入院子。 “胜儿，修养差不多了，今日就启程吧？” 路全安面色温和平静，手里提着一个黑色绸缎包裹。显然是为路胜准备的路上盘缠。
