chapter_id,title,chars,pair_index,pair_pos,hook_type,hook_tail_quote,reward_signals
CH0001,第1章 道法无情,4180,1,1,crisis,一声，变成绿色黏液，然后炸开成浓烟散开了。” “不是朝廷的高手动手的啊？” “当然不是！” 路胜听出这是城门守备的军官在闲聊。 他时常都会故意路过这边城门，这里的军官守备士兵消息灵通，都喜欢到处拿稀奇事吹牛扯淡。 “这倒是巧了……”路胜脸上不动声色。他回想起之前那块玉石，心头一沉。 马车缓缓朝着城里最繁华的枯荣街驶去。,第 层
CH0002,第2章 作弊器,3459,1,2,crisis,现在居然还各种看到幻觉！ 他前世时，无聊的时候下了个乱剑群侠传小游戏，因为游戏难度太大，他就自己编了个简单的修改游戏武功的作弊器。 取名叫深蓝作弊器。说起来刚才那声声音还是他自己亲自用变声器录的。 没想到…… 然后路胜果断仔细去看方框内的界面。 界面极其简单，只有一个个小格子密密麻麻。 上边写着： 路胜—— 武学：无。,第
CH0003,第3章 黑虎刀法（上）,3601,2,1,open,告诉你，就算是最强的江湖高手，也对付不了那些奇奇怪怪的诡异之事。” “……我明白了……” 路胜点头。 “我只是，心里不踏实，做到自己能做的就好。” “胜哥明白就好。”赵大虎想了下，从怀里摸出一本小册子，那册子是用一层层的黄色布匹包裹着。 他细心的慢慢打开，将最里面的小册子露出来。 册子表面写着几个大字。 “黑虎刀法”。,第 层 得到
CH0004,第4章 黑虎刀法（下）,3506,2,2,crisis,。 很快路放路全安也来了。 “怎么回事？”他带着路胜的二娘三娘一起过来的。 路胜的娘亲很早就病逝了。 从小就是二娘照顾他。 二娘刘翠玉性情柔和，待人极好，对他和对自己孩子没有丝毫不同。 “就是练武亏了点气血。没事。”路胜一一给家里人解释。 他是家中的长子，是未来要继承家业的顶梁柱，出了什么事，自然第一时间就会引发关注。,第 层 成功
CH0005,第5章 勇武,3750,3,1,crisis,。 时间缓缓过去。 呜…… 很快，风里隐隐飘来一阵声音，似乎是风声，又像是某种动物的呜咽声。 呼！ 猛然一道黑影从侧面扑来，火把反光，照射出来的是一双绿油油的眼睛。 那黑影速度极快，一下扑到肉块位置，叼起肉就跑。 路胜心头一喜，便要动身。 忽然他后背一紧。 一股冷风打在背心上。 路胜双眼睁大，提着朴刀转身就是一记横斩。,第 层 得到
CH0006,第6章 黑会,3396,3,2,crisis,不干净，甚至还有的带着血腥气。 喜欢参加黑会的，大多是亡命之徒和凶恶之辈。 “能安排我参加么？” 路胜却是打定主意要参加了。 寻常的凶徒，也没人敢惹路府。 路家光强壮丁勇就有三四十人，护院中还有赵伯那样的高手数人。 路全安老爷和官府衙门还有千丝万缕的联系，遇事还可以有军队帮忙。 这样的大户人家，还真不怕一般的什么凶徒。,第
CH0007,第7章 会场（一）,3407,4,1,reversal,今年才十七，是继承了他爹的工作，也到路家来做门房。 小八和路胜也蛮熟，时常会给路胜说些城里城外流传的趣事异闻。 这也是路胜爱听的。 “老爷在吗？” 路胜下车付了钱，随口问道。 “老爷又去衙门了，知府大人召他，好像是要找什么东西。” 小八笑道。 “找什么东西？” 路胜这几日都在忙自己的事，却是没在意府里。 “什么东西？”,第
CH0008,第8章 会场（二）,3458,4,2,open,，路胜见了这皮甲，心头也有些心动，这种皮甲轻便灵巧，比金属甲方便活动，不会影响动作。如果防御力真的和介绍的一样，那确实是件好东西。 他有心想要出价，但见价钱瞬间便快到了一千两，便只得忍住放弃，他真正的目的，还是下面的那本秘籍。 不能因小失大。 皮甲最后被那个背刀的赤发大汉买走。 紧接着，便是倒数第二件东西。 内功秘籍。,第 层
CH0009,第9章 端木婉（一）,3545,5,1,crisis,他对手。 张俊东出手前便仔细识别过，对方不在那几人之列。 在拍卖会上被截胡，他虽然是张家的人，但同时还有着另一层身份。 那就是紫华城外臭名昭著的狼盗，其中的一名大头目。 既然秘籍拍卖失败，那就索性硬抢，反正他也不是第一次干这种事，黑会也没人会给得拍者安全保障。 之后杀人抢到手，他还能平白节约上千两给自己用，何乐而不为？,第 层
CH0010,第10章 端木婉（二）,3397,5,2,crisis,道。 “哪有什么艺？只是路上被一队商队搭救，这才顺路先到九连城，不然半道上婉儿和侍卫说不定会饿死冻死在哪个角落呢。” 婉儿解释道。 “说起来，搭救婉儿的那位公子，也是和您一样武艺高强。” 端木婉轻笑起来。 “是吗？” 路胜一听便知道对方看到了他前面出手的情景。 “婉儿在黑会上，似乎见公子十分需要内功秘籍？”端木婉又道。,第 层
CH0011,第11章 蛰伏（一）,3391,6,1,reversal,学几套功夫在身。” “多学几套功夫？赵伯的意思是……？” 路胜挑了挑眉。 赵伯笑道。 “我老赵，在九连城也算有几分薄名，大公子你路家，也颇有财名，两相结合，应该能说动不少老家伙，把他们压箱底的绝学传出来，交给你。说起来，这些所谓绝学可都是能排得上三流的绝艺，大多不在黑虎刀之下。若是大公子有意，我倒是可以代为引荐引荐。”,第 层
CH0012,第12章 蛰伏（二）,3401,6,2,question,容易的内功，修行一天就能产生气感。三者都是上手容易大成难的类型。真假极易识别。” 她话风一转，又道。 “至于是否有错漏修改处，这个就要看公子信不信婉儿了。否则就算是真秘籍，摆在公子面前，怕也会被嫌疑。” “婉儿姑娘所言不错。”路胜心头一喜，如果真如对方所说，三本秘籍都极易上手，那比起黑煞功，这三门功夫远远更加适合于他。,第 得到
CH0013,第13章 蛰伏（三）,3373,7,1,reversal,。 仔细感受着在胸腹之间不断循环流转的玉鹤功内气，感觉新奇不已。 “感觉就像是身体内多了一条线。” 路胜试着控制这条线，发现这玩意儿似乎并不能往其他地方窜，只能固定在胸腹之间转圈。 而在这一丝内气转圈的过程中，他明显感觉到自己呼吸轻松不少，精神也要旺盛一些。 “入了门的内功，我看看……”路胜翻出秘籍来看了看上边的记录。,提升 第 层
CH0014,第14章 蛰伏（四）,3519,7,2,reversal,明显感觉胸腹处的气息比之前大了不少。 如果之前是头发丝，那么现在就是筷子粗细。 路胜又看了看另一门功夫，破心掌。 这门功夫显示未入门，外功和内功不同，只要记住招式心法，就能在修改器上显示项目。 而内功一定要先产生气感才能修改。 路胜打算先迅速提升玉鹤功，提高精气神总量，再来修改其他外功，这样一来，身体负荷也要轻松许多。,提升 第 层
CH0015,第15章 蛰伏（五）,3385,8,1,crisis,敛念头，路胜心头默念。 “深蓝。” 顿时一个淡蓝色界面出现在他面前。 他轻车熟路，按下修改键，然后精神集中在了玉鹤功的选项上。 “提升一层！” 选项上的状态顿时一跳，轻轻松松从一层，跳到了二层。 身体内部，一种被掏空的感觉猛然涌出，仿佛极短时间内纵欲过度很多次一样。 视线也有些头晕目眩起来，之前的那种潮热感又涌出来了。,提升 第 层 得到
CH0016,第16章 变故（一）,3389,8,2,reversal,胜放下筷子，看向路全安。 “你说九连城收集不到武艺了，要不要去一趟沿山城？” 路全安认真道。 “沿山城？” 路胜一愣，他没想到老爹居然是要他离开九连城。 “是啊。”路全安点点头。“那里有我的一个老友，他前几日书信里提到，沿山城有中原名家高手开门授艺，你若是愿意，可去一趟那边，说不定可以带回来一两套中原真正的厉害武学。”,融合 第 层 得到
CH0017,第17章 变故（二）,3505,9,1,crisis,向二头。 “来吧！”二头咧嘴一笑，大斧头挥了挥。指着自己脑门道。 “小娃子还像模像样的，往这儿砍！这儿！” “你爷爷我站在这儿原地不动让你……” 哧！！ 刹那间一道银色电光一闪而过。 路胜手中的长刀一下化作轻灵的燕子，骤然跨越数米距离，一下从二头身上横切而过。 噗！ 一颗人头骤然飞起。 血撒了一地。 整个院子一片寂静。,提升 第 层 得到
CH0018,第18章 变故（三）,3429,9,2,crisis,和两个通力境的交手，他其实也受了伤。 林双火和林洪水都是天生神力，加上泼风刀法也是增强力道的，这就导致两人的刀势极重。 在最后那一下硬碰硬。 路胜右臂的肌肉也被震伤，后脚跟隐隐作疼，应该是高强度的爆发让脚筋也伤到了。 还有双肩因为短时间内连续爆发，全力使刀，加上最后一下硬撞，此时也传来阵阵痛楚，不知道是不是骨头伤到了。,第 层
