stage,chapter_id,title,sig_count,reward_signals_clean,hook_type,hook_tail_quote
Stage1,CH0039,第39章 弄情（三）,4,推演 融合 强化 得到,crisis,是像上次水鬼留下的那种鹅卵石再多点，或许我还能推演其他黑煞功等更高级的功法。” 感受了下新的内功，似乎随着爆发力的增强，玉鹤功原本的自愈能力也得到了丝丝强化。 “这已经不算事玉鹤功了，既然是融合了黑虎刀法劲力技巧，以后，就叫黑虎玉鹤功算了。” 他心中这么想着，顿时修改器上玉鹤功显示的名字，也缓缓变成了黑虎玉鹤功五个字。
Stage1,CH0023,第23章 出事（一）,3,突破 提升 强化,reward,路胜腰后挂着长刀，刀只是普通的精钢打造，不是什么有名兵刃，但胜在厚重，不那么容易坏。 两人一路赶到九连城，小巧已经累得不行，中途还是路胜抱着她赶了一截路才支撑下来。 路胜现在修习黑煞功，再加上每日勤练刀法，身体远比以前强壮太多。 特别是黑煞功的刺激强化。 每一次在体内运转一圈，就感觉像是一团滚烫热气在体内滋养肌肉骨骼。
Stage1,CH0016,第16章 变故（一）,2,融合 得到,reversal,胜放下筷子，看向路全安。 “你说九连城收集不到武艺了，要不要去一趟沿山城？” 路全安认真道。 “沿山城？” 路胜一愣，他没想到老爹居然是要他离开九连城。 “是啊。”路全安点点头。“那里有我的一个老友，他前几日书信里提到，沿山城有中原名家高手开门授艺，你若是愿意，可去一趟那边，说不定可以带回来一两套中原真正的厉害武学。”
Stage1,CH0020,第20章 上路（二）,2,突破 提升,reversal,里来回走了几步。 他的伤势早就好得差不多了。只是一直在苦练黑煞功，等待气感。 只要有一丝气感，他就打算迅速提升内功，务必要让黑煞功真正形成自己实力的一部分。 就在这时，路全安匆匆忙忙带着两个家丁进入院子。 “胜儿，修养差不多了，今日就启程吧？” 路全安面色温和平静，手里提着一个黑色绸缎包裹。显然是为路胜准备的路上盘缠。
Stage1,CH0022,第22章 上路（四）,2,突破 提升,reversal,了许多，不似第一次那么艰难。 只是短短盏茶的功夫，也就是十几分钟时间。 路胜便慢慢缓过气来。 虽然身体还是很痛，无处不痛，一些新的经脉被黑煞功内气冲开，开始纳入循环网络，自然新的被冲开的经脉也需要修复，修复也需要时间。 但他现在的感觉。 就像是浑身上下充满了气，快要炸开一般。 “再试试！” 路胜站起身，抽出腰后的长刀。
Stage1,CH0015,第15章 蛰伏（五）,2,提升 得到,crisis,敛念头，路胜心头默念。 “深蓝。” 顿时一个淡蓝色界面出现在他面前。 他轻车熟路，按下修改键，然后精神集中在了玉鹤功的选项上。 “提升一层！” 选项上的状态顿时一跳，轻轻松松从一层，跳到了二层。 身体内部，一种被掏空的感觉猛然涌出，仿佛极短时间内纵欲过度很多次一样。 视线也有些头晕目眩起来，之前的那种潮热感又涌出来了。
Stage1,CH0017,第17章 变故（二）,2,提升 得到,crisis,向二头。 “来吧！”二头咧嘴一笑，大斧头挥了挥。指着自己脑门道。 “小娃子还像模像样的，往这儿砍！这儿！” “你爷爷我站在这儿原地不动让你……” 哧！！ 刹那间一道银色电光一闪而过。 路胜手中的长刀一下化作轻灵的燕子，骤然跨越数米距离，一下从二头身上横切而过。 噗！ 一颗人头骤然飞起。 血撒了一地。 整个院子一片寂静。
Stage1,CH0030,第30章 找到（二）,2,提升 成功,question,和原本一样。 专蜂见状，眼里闪过一丝悲哀。 “没用了，她已经傻了……阴气入脑，没了阳气支持，脑袋起码有一半以上的地方都没了生机，能活下来已经是奇迹了。这是那位道长说的原话。” 路胜心情沉到谷底。 抱着路轻轻站起身，又看了看其余两人。 这一男一女都模样俊俏俊美，身材也匀称漂亮，显然是这里的妖鬼专门留下来不知作何用途的货。
Stage1,CH0040,第40章 弄情（四）,2,突破 推演,question,，总是不散。 “可我也没办法，谁叫我天生就腿长呢？”陈芸熙仰起头，一脸愁苦的看着他。“我知道你可能瞧不上我，但我真的很喜欢你……” 她咬咬牙，从腰囊里取出一卷有着铜印的纸张，轻轻展开。 “我父亲说了，听说路大哥你家里要搬迁大城，不如就搬过来这里。只要你愿意，这是沿山城十五栋酒楼的商契，便都是你的。足以让路家站稳脚跟。”
Stage1,CH0013,第13章 蛰伏（三）,1,提升,reversal,。 仔细感受着在胸腹之间不断循环流转的玉鹤功内气，感觉新奇不已。 “感觉就像是身体内多了一条线。” 路胜试着控制这条线，发现这玩意儿似乎并不能往其他地方窜，只能固定在胸腹之间转圈。 而在这一丝内气转圈的过程中，他明显感觉到自己呼吸轻松不少，精神也要旺盛一些。 “入了门的内功，我看看……”路胜翻出秘籍来看了看上边的记录。
Stage1,CH0014,第14章 蛰伏（四）,1,提升,reversal,明显感觉胸腹处的气息比之前大了不少。 如果之前是头发丝，那么现在就是筷子粗细。 路胜又看了看另一门功夫，破心掌。 这门功夫显示未入门，外功和内功不同，只要记住招式心法，就能在修改器上显示项目。 而内功一定要先产生气感才能修改。 路胜打算先迅速提升玉鹤功，提高精气神总量，再来修改其他外功，这样一来，身体负荷也要轻松许多。
Stage1,CH0024,第24章 出事（二）,1,得到,reversal,，便是一个衣柜，一个梳妆台。 梳妆台后面便是窗户，此时那木窗半开着，露出外面黑乎乎的小巷。 蜡烛光从进门右手面的书桌上照下来，将大半房间都照亮，却反倒衬托出那半开的木窗更加幽黑。 路胜走过去，探头从窗户望出去。 木窗外的巷子，正好面对着路府的一处侧门。 从窗口望外望去，可以清楚的看到一条笔直小巷直通有些荒凉的白色侧门。
Stage2,CH0098,第98章 交易（二）,7,突破 提升 推演 融合 特效 强化 得到,crisis,念。 “是。” 对话框眨眼消失。 确定推演后，那种奇妙的感觉又出现了，路胜能够明显感觉到，在修改器里的所有方框中的武学，都可以进行推演融合。 他第一时间看向赤极心法。 “赤极心法：第七层。特效：血网。强化火毒，六重震荡，强化引燃。”后面果然多了一个可以推演的按钮。 深吸一口气，路胜满怀期待，意念在那个按钮上轻轻按下去。
Stage2,CH0070,第70章 融合（二）,6,突破 提升 推演 融合 特效 得到,reversal,气，全部被转化成了新内功的内气，其内气总量，在体内激荡不已，雄浑异常。 “既然是融合了两者特点，那么新功法就叫，阴阳玉鹤功吧。”路胜迅速给其命名。 新的阴阳玉鹤功，已经远远不是以前玉鹤功那种低级养生功，而是提升成了路胜也无法预料效果的高级养生功。 融合了多门内功的优点特色，这门新内功刚刚转化完毕，便让路胜感觉到了不同。
Stage2,CH0043,第43章 倩影（一）,6,突破 提升 推演 融合 强化 得到,crisis,想，来沿山城这几个月，他也暗地里调查询问清楚了这城内的情况。 沿山城高手不多，因为官府势力强盛，对江湖人马管束较多，所以这里的高手反倒是官场中人和带兵将领来得多。 其中名气最大的，便是一气青峰剑鲁城钟。相比此人，其余人都只是陪衬，不过鲁城钟已经八十七岁了，三个儿子都是城内高官，根本不好接近请教。 这个首先便被路胜排除。
Stage2,CH0086,第86章 秘闻（二）,6,突破 提升 推演 特效 强化 得到,crisis,这就是武道的极致。但就算这样，也不可能。” “而达到这样的层次，师兄也曾猜测过，这拘力是不是力量实力达到一定程度后，自然而然产生的自然反应。但后来发现不是。”洪明资眯起眼睛，“这拘力，不光有毒性，还是一种隔绝保护力量，它就像是一层鸡蛋壳，将那些不死的存在包裹得严严实实，不打破它，甚至连伤都伤不到他们。更别说破不死身。”
Stage2,CH0099,第99章 无忧王（一）,6,突破 提升 融合 特效 强化 奖励,crisis,头醉死在酒坊。却没想到，遇到了之前一面之缘的路胜。 而更让他想不到的是，这个才和自己见过一次面的陌生人，居然丝毫没有送自己报官的意思，要知道他现在身体亏空，虚弱无比，又醉得浑身无力，若是真要报官，现在便是最好时机，抓起他直接去衙门就行，那里还贴着通缉他的海报公示。 可路胜居然没这么做，而是说有什么能帮得上忙的，尽管提。
